frame,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,0.30715945,0.44735715,0.9770775,0.3037857,0.35532463,0.9824837,0.2560543,0.43808955,0.854338,0.35616207,0.23091543,0.9336133,0.22943465,0.43984008,0.27073482,0.53743017,0.20181513,0.99213785,0.28532732,0.56090415,0.94628996,0.72590095,0.41830328,0.97711575,0.07616549,0.83980525,0.66038686,0.6012428,0.7992097,0.93974835,0.12615594,0.4061779,0.68028474,0.838883,0.6140921,0.85125214,0.67673874,0.8139148,0.6702061,0.8844622,0.64927894,0.28034845,0,0,0.110933214,0,0,0.065266006,0,0,0.032387864
1,0.31382728,0.43403634,0.973153,0.308526,0.34802973,0.97589535,0.26484352,0.4164867,0.8496022,0.34996566,0.22003666,0.900128,0.22821745,0.39871612,0.3006939,0.54267997,0.18049765,0.98947656,0.27759075,0.5291541,0.95182633,0.74335843,0.41068688,0.9671368,0.06352483,0.8598339,0.7119648,0.5954101,0.82342136,0.92939234,0.13377005,0.40702352,0.74200916,0.83341515,0.58081526,0.84041345,0.6688099,0.7584093,0.7021384,0.77157366,0.6097704,0.3068656,0,0,0.14825587,0,0,0.08464721,0,0,0.047669776
2,0.10534491,0.36027023,0.87616915,0.09378247,0.23910788,0.814061,0.07570364,0.34350863,0.672815,0.11975372,0.042637672,0.53154373,0.05230259,0.29582536,0.370465,0.23020531,0.13870026,0.9907595,0.13104005,0.44780278,0.9296119,0.33708343,0.41101518,0.9671432,0.22210008,0.7463798,0.64635444,0.255368,0.8186113,0.83804387,0.21440451,0.849591,0.5532434,0.48533252,0.3614031,0.99059254,0.42489526,0.5763331,0.9742541,0.71432835,0.64236504,0.95875776,0.71196795,0.85618794,0.91306186,0.896313,0.5658454,0.85159576,0.86825687,0.62238926,0.79233795
3,0.14088847,0.51545763,0.8910534,0.12485507,0.40096545,0.8567267,0.107551485,0.5008724,0.5848584,0.14429876,0.21635777,0.66150045,0.077230364,0.48107043,0.21015608,0.26425356,0.29604188,0.996117,0.14685307,0.612493,0.92781,0.39354423,0.42863014,0.9906193,0.18759894,0.73705375,0.66457576,0.31136027,0.83169174,0.9447475,0.16752473,0.8109235,0.61695004,0.5264995,0.42321524,0.993842,0.46234348,0.64075696,0.9734576,0.7615494,0.64615613,0.9579059,0.7543318,0.84776646,0.85972494,0.8909977,0.5846462,0.7618336,0.8810326,0.6312774,0.6003116
4,0.29619896,0.4115921,0.98159814,0.29516876,0.29001126,0.9751785,0.24438088,0.41074753,0.9402573,0.37032622,0.20072989,0.8859384,0.23800601,0.49340937,0.59903866,0.5919136,0.21838303,0.9784888,0.27924234,0.71275115,0.9851975,0.81168985,0.31068867,0.8567246,0.06754627,0.9655381,0.8851853,0.76180285,0.74086297,0.8364249,0.117794424,0.4317348,0.8912517,0.8419589,0.5387561,0.67457235,0.6681314,0.7997392,0.72359043,0.9254417,0.021096317,0.41648236,0.8105369,0.3670548,0.46849442,0.9013844,0.25458828,0.2783688,0.978994,0.45658505,0.32090455
5,0.20547543,0.43923202,0.9732101,0.1995231,0.33331585,0.9632682,0.17383748,0.4369117,0.8964914,0.23214698,0.22435637,0.8623079,0.15815315,0.5008202,0.4228371,0.33849034,0.25946385,0.9939567,0.20578241,0.68225396,0.9807155,0.44353476,0.15553498,0.9661932,0.15236321,0.7992667,0.847861,0.4396032,0.25743237,0.8599169,0.07769685,0.84612936,0.72834057,0.57189083,0.5931169,0.9725742,0.50068504,0.8609242,0.9540996,0.8028983,0.5354062,0.86017764,0.75945014,0.7163019,0.79300153,0.939852,0.6113676,0.5793035,0.93514496,0.6417627,0.5419162
6,0.22972646,0.41555136,0.9813818,0.22606833,0.3022895,0.9778292,0.18270683,0.41998342,0.9100269,0.28004953,0.22298959,0.89381677,0.17535762,0.5014412,0.48898613,0.41038707,0.2628911,0.9894008,0.23801208,0.68225867,0.9728007,0.5990327,0.17860398,0.95662236,0.05483799,0.87414676,0.80877846,0.84782916,0.20538813,0.8905805,0.099226944,0.40773618,0.7807861,0.6682533,0.6772813,0.7721618,0.5660313,0.93182796,0.66924524,0,0,0.19545133,0,0,0.12412815,0,0,0.03677368,0,0,0.026851365
7,0.19029383,0.4042539,0.98123324,0.18848206,0.31351116,0.97365224,0.15443814,0.3882016,0.9006061,0.22704443,0.22104849,0.8455668,0.13216352,0.42772722,0.32350954,0.32025847,0.26198322,0.9954678,0.18252493,0.57075876,0.967194,0.45996872,0.2094689,0.98345953,0.11794239,0.74296486,0.8117854,0.5934578,0.24282293,0.9356485,0.089765586,0.90516883,0.7439502,0.5586335,0.64333004,0.9733483,0.48299444,0.8699029,0.9305871,0.8096403,0.6247511,0.81166667,0.7625814,0.8035498,0.63780916,0.91330916,0.7177428,0.38680726,0.8921963,0.77226317,0.28535914
8,0.19596423,0.43613604,0.98129773,0.19310057,0.35039252,0.9713733,0.16212164,0.42599937,0.8968469,0.22964586,0.24352752,0.8303791,0.14212616,0.44289395,0.32010263,0.32448897,0.25642082,0.99603695,0.19519043,0.5532668,0.9713302,0.46868145,0.23392826,0.9862505,0.12571128,0.7657962,0.84674174,0.60741335,0.2617688,0.9473098,0.10652927,0.93474346,0.79633147,0.5604798,0.6268912,0.9756325,0.4913764,0.83830196,0.9399927,0.75352085,0.62127244,0.82894474,0.73539466,0.8245438,0.6682419,0.86511815,0.6908888,0.4215697,0.87776273,0.789625,0.3121424
9,0.19332036,0.41712245,0.9797372,0.18962257,0.3228771,0.9719497,0.15960501,0.41010028,0.90117586,0.22872816,0.2170488,0.84463006,0.14410818,0.44821027,0.32476652,0.32756335,0.2543516,0.9943433,0.19637746,0.5687093,0.9643265,0.46733207,0.21471094,0.9792628,0.14665337,0.72315305,0.8104658,0.5931859,0.26004565,0.91978264,0.13640177,0.8935842,0.71704185,0.55511194,0.6897177,0.96674246,0.48058513,0.91510874,0.9204659,0.7930424,0.6784624,0.74187523,0.739837,0.84755933,0.5564405,0.9327722,0.76962507,0.30094633,0.8888467,0.79316944,0.22122245
