frame,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,0.9634826,0.29159075,0.87415296,0.9868274,0.2544207,0.5370357,0.965193,0.22554056,0.87866515,0.9860766,0.24610223,0.2673357,0.93123525,0.18199775,0.8432521,0.8704444,0.3676139,0.89646435,0.86068916,0.34637767,0.9818558,0.8246438,0.53323716,0.46146917,0.84282976,0.61128044,0.917022,0.9079143,0.69016725,0.47201365,0.88936067,0.6285306,0.738325,0.530332,0.56193006,0.9554465,0.52100605,0.471031,0.9732545,0.29042915,0.7102859,0.8969329,0.2962346,0.67698026,0.93522435,0.10386157,0.59070486,0.764296,0.12362516,0.6166358,0.7834279
1,0.9641736,0.31585798,0.8281719,0.98530185,0.27016306,0.55101216,0.96428806,0.2579051,0.77842253,0.98740023,0.26426145,0.36797905,0.93653196,0.23948315,0.7327518,0.8681088,0.39159876,0.91124874,0.8806786,0.42809153,0.9581956,0.8273338,0.49571413,0.5690216,0.86513305,0.65961915,0.7974812,0.9125781,0.66481733,0.5676784,0.89155704,0.63253284,0.59570277,0.532031,0.61114264,0.93923074,0.5367464,0.5536267,0.9387858,0.30994773,0.68020517,0.86493707,0.33036897,0.6929615,0.8648989,0.14181024,0.5535615,0.72150844,0.16073588,0.6071157,0.6759334
2,0.9717311,0.44915166,0.7583598,0.99601007,0.40255478,0.42532912,0.97406554,0.3804363,0.72205096,0.9971769,0.39209986,0.31685686,0.948641,0.34670964,0.7176983,0.86725724,0.5302527,0.8285847,0.8970615,0.5309646,0.9489791,0.80179894,0.6659303,0.33329105,0.8545204,0.76313627,0.7651042,0.90709716,0.7512456,0.38475186,0.878963,0.72567445,0.5497688,0.56305766,0.715373,0.8667535,0.5789749,0.6538188,0.89889425,0.33878908,0.7671689,0.7578322,0.36751443,0.7639215,0.8045894,0.17127782,0.62828475,0.5912263,0.18812266,0.6722063,0.5864779
3,0.97961414,0.40734425,0.6845835,0.9912312,0.36849853,0.20798387,0.9848125,0.35021496,0.732708,0,0,0.09677774,0.9507084,0.2821227,0.81035626,0.8559358,0.4103837,0.8179324,0.87356955,0.433655,0.95200974,0.83677685,0.63353324,0.43263584,0.8423524,0.7785192,0.85360044,0.93988645,0.7969671,0.4528992,0.89304364,0.8103159,0.6771093,0.5555731,0.6477017,0.8519362,0.56469494,0.6052865,0.88708776,0.3946237,0.71953005,0.69152594,0.40843603,0.7353126,0.75425816,0.22227176,0.65183955,0.47407138,0.22867256,0.6994385,0.46841657
4,0.973762,0.3260203,0.32236993,0,0,0.020769877,0.97456896,0.29339617,0.53379977,0,0,0.02415494,0.9359982,0.21786752,0.8754534,0.6449136,0.1562043,0.67028624,0.79599386,0.3140827,0.9392966,0.6992322,0.59419274,0.33743405,0.8410505,0.91219527,0.8956559,0.9570718,0.5976664,0.35394493,1.0,0.69783384,0.75595844,0.07750101,0.52262694,0.52887046,0.16468331,0.57748157,0.6820194,0.2652651,0.55870533,0.2578539,0.35864556,0.7031322,0.44325724,0,0,0.12108067,0,0,0.15609628
5,0.9669957,0.3362907,0.3992126,0,0,0.038124852,0.97155946,0.30450553,0.57854927,0,0,0.0353399,0.9270948,0.23176931,0.87841207,0.6368839,0.18560104,0.7880814,0.76307154,0.3219291,0.91810733,0.722359,0.5994713,0.47173655,0.8360188,0.8722247,0.8013996,0.9631984,0.5662851,0.39931992,0.9899699,0.690761,0.59861743,0.14108291,0.5455319,0.5219582,0.208874,0.60572124,0.56226426,0.41234645,0.5780947,0.23308171,0.4440448,0.69478756,0.29844183,0,0,0.09447407,0,0,0.09656726
6,0,0,0.12816656,0,0,0.0114589995,0.99132806,0.38631064,0.21227236,0,0,0.01344756,0.9691961,0.28753653,0.5964349,0.7837534,0.252755,0.40447333,0.8519755,0.36964232,0.8674531,0.8081468,0.6455632,0.24794024,0.873468,0.89179605,0.8515636,0.9682163,0.7851575,0.31040797,0.972468,0.81362426,0.70164067,0.36181372,0.5037382,0.66966796,0.39898074,0.5352696,0.8000987,0.2762129,0.51213855,0.5473606,0.3102121,0.6851334,0.7225625,0.12329503,0.3536531,0.4606026,0.12976655,0.612725,0.5192755
7,0,0,0.1145785,0,0,0.011339781,0,0,0.17148305,0,0,0.013878232,0.97951883,0.23836403,0.5237038,0.8361052,0.21310325,0.39112797,0.87464887,0.3093283,0.84117645,0.83119076,0.65604126,0.26582143,0.8946388,0.8923173,0.839341,0.975707,0.7530209,0.3421431,0.9687039,0.752508,0.7080596,0.46931848,0.5188882,0.67625153,0.4896514,0.53021705,0.79380816,0.40469795,0.6131196,0.5791254,0.42442733,0.71302766,0.7322091,0.28648594,0.53204334,0.46358275,0.29774264,0.69167864,0.519613
8,0,0,0.072072044,0,0,0.0034684779,0,0,0.15011008,0,0,0.010814448,0.96188533,0.23093249,0.71300465,0.6636955,0.21407151,0.45384157,0.80302536,0.36137998,0.8780158,0.6920248,0.6406621,0.23603126,0.82803744,0.91314375,0.8401903,0.9128651,0.6804733,0.23483808,0.99938,0.7686003,0.621011,0.072548196,0.56115365,0.5235847,0.1523599,0.61016476,0.68685555,0.18036175,0.6380858,0.26455593,0.28022072,0.77164704,0.44386145,0,0,0.12602864,0,0,0.15653203
9,0,0,0.119627476,0,0,0.010143666,0.98243636,0.35589245,0.20239401,0,0,0.011334077,0.95617044,0.27298814,0.63438195,0.75671035,0.25972548,0.38744965,0.85308737,0.38408524,0.7660746,0.79515785,0.6396174,0.24396367,0.90394944,0.9013156,0.72568566,0.9685989,0.7487624,0.30069306,0.9684989,0.77760255,0.5892184,0.36727932,0.60390174,0.5179216,0.41561636,0.644178,0.60598135,0.40540224,0.52232337,0.44103345,0.39591664,0.67902905,0.5675338,0.27289465,0.5083927,0.37128997,0.18696451,0.7315023,0.3877646
10,0,0,0.08323492,0,0,0.0057248455,0,0,0.17010172,0,0,0.010633246,0.9435939,0.32784536,0.63644534,0.68324965,0.22457142,0.2804748,0.81509584,0.38351846,0.87311864,0,0,0.16295825,0.8674715,0.8993688,0.88640946,0.91897786,0.72981143,0.23549049,0.9905071,0.8289361,0.7530162,0.13421501,0.5040028,0.5815525,0.20923539,0.5608687,0.7989266,0.123177536,0.5127834,0.48762846,0.20729452,0.70309794,0.7507111,-0.081197776,0.40256214,0.43352988,-0.050446127,0.671871,0.55667263
11,0,0,0.079645835,0,0,0.0077792774,0,0,0.115850925,0,0,0.012917367,0.95847934,0.3056655,0.4548503,0.78724575,0.23808934,0.3518427,0.8614186,0.3743803,0.810715,0.8013924,0.63040864,0.25368172,0.8938257,0.90004414,0.8087757,0.94593704,0.7463676,0.31530297,0.9701168,0.77410054,0.6503643,0.3896794,0.5248897,0.69910526,0.4302409,0.56163216,0.8063456,0.28708294,0.54578555,0.61431175,0.32263523,0.7299039,0.7546649,0.15866369,0.43023384,0.5027461,0.15888077,0.6996348,0.5441203
