frame,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,-0.03782398,0.6652188,0.37632737,-0.03625697,0.6332275,0.24766958,0,0,0.19148155,0.01772291,0.64387804,0.2984606,0,0,0.18263842,0.153831,0.6489311,0.8373695,0.090041645,0.7551199,0.85780585,0.25640178,0.7699145,0.8032586,0.21756546,0.9240781,0.82874835,0.18913545,0.44766635,0.8044041,0.23011047,0.5680183,0.85111827,0.48318473,0.70860004,0.90438336,0.4210805,0.8041691,0.9157554,0.71320456,0.25870928,0.8990044,0.6961846,0.36154127,0.91937065,0.88124907,0.7049061,0.8487647,0.89978796,0.7742019,0.87682724
1,0.02540214,0.5470909,0.67304987,0.02585143,0.51422894,0.5247803,0.016651697,0.55150837,0.41912678,0.08425664,0.54589695,0.46158955,0.04460542,0.62867105,0.2904044,0.22520255,0.60460925,0.93001246,0.12623909,0.7148726,0.93506634,0.28548506,0.8131712,0.8585187,0.19437632,0.99129266,0.8806165,0.19028021,0.44666857,0.84428024,0.22921766,0.54652715,0.8898502,0.5261734,0.67703277,0.9163127,0.45026743,0.77161837,0.929193,0.738962,0.25717664,0.9074679,0.69993854,0.33692318,0.9296095,0.8629628,0.6616573,0.8497753,0.89125127,0.7330642,0.88162434
2,0.46173087,0.32086003,0.95170873,0.49826393,0.27814677,0.944342,0.44251978,0.29377514,0.82858306,0.5911943,0.29947704,0.8308645,0.44230524,0.32979476,0.3639014,0.6824449,0.48288363,0.97938603,0.40724534,0.4780857,0.9194076,0.8631917,0.5112883,0.9281254,0.203077,0.60056555,0.65837544,0.85328245,0.12343576,0.9160637,0.16080406,0.7374089,0.6823777,0.4340685,0.7586609,0.8896837,0.27550235,0.7224884,0.79035074,0.164904,0.64634264,0.8021316,0.07626719,0.6559865,0.6722463,0.11164907,0.86390156,0.6040567,0.05914886,0.9052918,0.49825314
3,0.45206603,0.3212486,0.9519188,0.48368657,0.27536613,0.91701007,0.42556357,0.29793096,0.8664644,0.56591254,0.29886064,0.7240473,0.41710258,0.34637076,0.47857782,0.6730106,0.47995535,0.9655069,0.36355543,0.5173061,0.9529539,0.8433797,0.51746136,0.9119006,0.10355731,0.63904,0.85745907,0.8232345,0.15572464,0.91471183,0.106523685,0.87070847,0.8440815,0.5860408,0.8324191,0.78612334,0.38718766,0.853959,0.7485115,0.5013117,0.5107027,0.43794808,0.25421557,0.59500957,0.38711104,0.57809025,0.5983485,0.2078795,0,0,0.18647888
4,0.045919098,0.6680653,0.5255267,0.03138503,0.6482294,0.39514774,0.03423208,0.6913267,0.278123,0.053420547,0.67815804,0.3800998,0.042877868,0.78488946,0.20029011,0.1836945,0.6874075,0.91868454,0.15963513,0.7906984,0.86797667,0.31210527,0.8289674,0.8758673,0.30008647,0.95864516,0.805752,0.29085636,0.45960504,0.8636165,0.33359167,0.5517438,0.84607893,0.5055216,0.6785614,0.9468806,0.4748874,0.77236426,0.93986046,0.724769,0.28885332,0.9579188,0.7370471,0.35120857,0.9581502,0.8657902,0.71913123,0.93750244,0.88971055,0.74072653,0.9420379
5,0.05167151,0.67363167,0.8461596,0.043458514,0.62941307,0.7270356,0.022777572,0.67894113,0.6792237,0.07794753,0.66422296,0.55953515,0.02187793,0.7954966,0.445492,0.18889017,0.7705861,0.9574168,0.14687006,0.8966025,0.9615141,0.33861768,0.8998149,0.8770498,0.322211,0.99143803,0.90874463,0.32783076,0.4057194,0.8498462,0.3421838,0.45801216,0.89093924,0.507692,0.7735904,0.92406434,0.48108247,0.8897189,0.93547225,0.75784576,0.15120044,0.9104325,0.74987245,0.22479054,0.9311668,0.9022375,0.5847027,0.8673237,0.9404769,0.6495456,0.8948971
6,-0.098146565,0.65192074,0.4872422,-0.100443535,0.61999315,0.34892154,-0.10639509,0.66382194,0.26800984,-0.044604868,0.63653743,0.35453424,-0.083191305,0.73373383,0.2173797,0.11149407,0.6440087,0.8784203,0.030277213,0.76435494,0.8836947,0.23916538,0.7470998,0.8289724,0.1568088,0.9299305,0.84134716,0.1598668,0.4573512,0.824819,0.19213942,0.5879802,0.86338675,0.46862286,0.6520871,0.92079246,0.39787608,0.75481844,0.9286124,0.7183187,0.27851257,0.91813356,0.69131523,0.38251513,0.93381834,0.88834405,0.72447914,0.87123775,0.8991489,0.7944362,0.89496833
7,0.4438856,0.35971528,0.95894706,0.47892395,0.3141872,0.93398017,0.41720712,0.3291871,0.889707,0.5556145,0.3348356,0.74525607,0.3968599,0.36536354,0.505885,0.63912153,0.508459,0.96915823,0.33658296,0.54066026,0.9472427,0.8230456,0.5544833,0.9154409,0.099021204,0.67780614,0.8207824,0.8238734,0.17908257,0.9066807,0.08738611,0.8803083,0.79919845,0.57797205,0.8183756,0.7732066,0.37587965,0.84701866,0.7073705,0.6042892,0.4898945,0.40263698,0.29535213,0.5794201,0.32764223,0.72054553,0.47261602,0.2028679,0,0,0.17062953
8,-0.020691592,0.6808195,0.46018633,-0.024109913,0.6518483,0.36726594,-0.023585586,0.6898495,0.21447206,0.03156247,0.664484,0.39745322,0,0,0.15158182,0.17769358,0.676245,0.88630116,0.12271936,0.77253586,0.83472717,0.2920709,0.80993736,0.8405252,0.25004137,0.9503948,0.77024055,0.23773563,0.47164547,0.83290637,0.27257717,0.5696138,0.8165142,0.49825954,0.6988175,0.9145173,0.44724342,0.7876345,0.90774286,0.7306338,0.27428943,0.92605346,0.71435803,0.3476695,0.9296374,0.88568205,0.70801955,0.89314157,0.9009105,0.76436555,0.9039212
9,0.0461382,0.6709517,0.59639955,0.033016402,0.64701784,0.45685485,0.035382807,0.6924143,0.34520116,0.060716663,0.67201924,0.41740116,0.04941987,0.7834568,0.24011649,0.19643922,0.67595226,0.9253815,0.16389981,0.80471015,0.8996614,0.3298022,0.78901553,0.8740829,0.29574448,0.97089005,0.8413151,0.2896397,0.46596295,0.86260647,0.31856307,0.5673502,0.8682304,0.5136934,0.67022437,0.946872,0.4790716,0.77290726,0.94542325,0.7401027,0.27272433,0.9550231,0.74116445,0.34455746,0.9595068,0.8760071,0.7195845,0.9316687,0.89545584,0.7522673,0.940719
10,0.018156623,0.6121056,0.6229393,0.0077740946,0.5874274,0.45709422,0.006809,0.62740517,0.39204997,0.036925826,0.62120175,0.39077854,0.017850904,0.7182057,0.27898878,0.17246662,0.6550641,0.9168589,0.120476745,0.77182394,0.91458195,0.2862778,0.80768573,0.8481132,0.2373153,0.9760967,0.8612054,0.2368227,0.46247467,0.840906,0.2699357,0.56557804,0.8804762,0.4971105,0.69748265,0.9341089,0.45009357,0.79766154,0.94093883,0.7311099,0.2623005,0.9434471,0.7190771,0.3375103,0.955311,0.8658766,0.70774925,0.9177818,0.88556796,0.7603926,0.9340827
