frame,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,0.15615521,0.36326495,0.97867453,0.2399005,0.28757653,0.9893226,0.07859137,0.29803178,0.930787,0.3743584,0.3081025,0.9105299,-0.0014325874,0.3313894,0.20061475,0.49895325,0.5628229,0.96034765,-0.0014325874,0.5946798,0.31701306,0.6922178,0.90938777,0.56569755,0,0,0.013473225,0.72686857,0.99512523,0.34490046,0,0,0.018799122,0,0,0.12555788,0,0,0.023486223,0,0,0.04354589,0,0,0.009681996,0,0,0.03265402,0,0,0.013113308
1,0.19943804,0.35042563,0.9736143,0.287976,0.28051388,0.9913483,0.12054592,0.28809464,0.91674596,0.41814524,0.3077738,0.96052426,0.030201765,0.32446888,0.20070302,0.5464915,0.57013905,0.97181547,-1.8402587e-05,0.5768324,0.31666562,0.67716783,0.9803812,0.6039989,0,0,0.008407883,0.37692663,0.99051476,0.29867283,0,0,0.009589532,0,0,0.10213196,0,0,0.015716443,0,0,0.027231146,0,0,0.004890091,0,0,0.022934875,0,0,0.007624962
2,0.263639,0.31757328,0.9847113,0.3486518,0.24959423,0.9903396,0.17940709,0.25975266,0.95582217,0.46712396,0.28262484,0.9219452,0.07640926,0.303544,0.34608942,0.60450226,0.54389334,0.9683707,0.011148289,0.5499407,0.51430374,0.7447758,0.9454471,0.5870797,0,0,0.027740024,0.52879614,0.99840987,0.29946905,0,0,0.025705077,0,0,0.059889935,0,0,0.014838973,0,0,0.0085612405,0,0,0.002257913,0,0,0.0050354684,0,0,0.0020704188
3,0.3572313,0.2833633,0.99140793,0.44297403,0.22078407,0.9902463,0.27778557,0.22669008,0.9793229,0.5654881,0.24619871,0.9138429,0.1821748,0.25897205,0.55114526,0.73038787,0.49700314,0.9632452,0.12564269,0.50109136,0.8963087,0.876157,0.8733575,0.6723129,0.11500814,0.82159966,0.4187464,0.7196341,1.0,0.45626107,0.111184046,0.9188783,0.28777012,0.66841435,0.97242033,0.22718865,0,0,0.17552406,0,0,0.012488494,0,0,0.008907939,0,0,0.004441697,0,0,0.0036493558
4,0.4471408,0.25723767,0.99195635,0.5216032,0.20212905,0.98347825,0.37374297,0.2063861,0.9748037,0.63020885,0.21911502,0.9048083,0.28599948,0.22938092,0.71705663,0.8178973,0.4774538,0.9907493,0.19326077,0.47155362,0.9829358,0.8506056,0.88001966,0.8268165,0.20783032,0.8321557,0.74114746,0.64615554,1.0,0.52152807,0.20577686,0.9953262,0.43244588,0.72253716,0.974991,0.36980227,0.31181172,0.9564846,0.34974214,0,0,0.01699109,0,0,0.0144033125,0,0,0.003568913,0,0,0.0034319516
5,0.45166492,0.24225488,0.99303716,0.5246865,0.19192411,0.98278517,0.37511802,0.19540751,0.9786702,0.63045245,0.2079788,0.9183314,0.2874263,0.22091769,0.7890177,0.83935946,0.462958,0.992473,0.17849837,0.45533183,0.994925,0.8241627,0.8502917,0.87683666,0.17813262,0.8005506,0.9263304,0.60212547,1.0001066,0.6602853,0.10340279,1.0001066,0.71020377,0.7175147,0.9872903,0.65639323,0.28951356,0.9600213,0.7239871,0,0,0.04360915,0,0,0.051898792,0,0,0.0071601546,0,0,0.008914004
6,0.5157919,0.22042483,0.99387485,0.57723624,0.17169507,0.98148406,0.4466446,0.17653993,0.98125356,0.6701817,0.1816111,0.8904442,0.36602512,0.19731364,0.8003427,0.8476848,0.42066017,0.99291867,0.28375727,0.4156644,0.9956809,0.86058104,0.7783017,0.9199397,0.25489917,0.72967947,0.9603569,0.7138453,0.98026174,0.76362616,0.1412662,0.9763312,0.83196664,0.7422529,0.91829205,0.82061005,0.36682603,0.8948413,0.8688492,0,0,0.09659941,0,0,0.12021194,0,0,0.014715956,0,0,0.018386077
7,0.5789455,0.20128186,0.9938871,0.6342553,0.1595534,0.98050517,0.52333635,0.16239269,0.9831957,0.7138118,0.17829286,0.8679177,0.45309657,0.18693122,0.8190551,0.8598238,0.40038595,0.99177563,0.35582656,0.39939845,0.99468035,0.90291905,0.72776955,0.9296187,0.31454486,0.6956174,0.9617389,0.79350024,0.9443232,0.7724864,0.22079024,0.9260388,0.83873045,0.76790947,0.9039109,0.8629971,0.41647816,0.8891971,0.89660263,0,0,0.06555317,0,0,0.08004532,0,0,0.006019586,0,0,0.0071332455
8,0.5780298,0.18923119,0.993443,0.6284954,0.15095252,0.97704494,0.5247347,0.15260632,0.98501945,0.69993514,0.16960956,0.82574695,0.45463625,0.17593615,0.85904956,0.8259532,0.379526,0.98896,0.35606274,0.3807674,0.9954762,0.88658994,0.67901367,0.9136058,0.29750815,0.6641708,0.97123826,0.81438416,0.8864064,0.7736894,0.22548316,0.9034864,0.88167214,0.7274977,0.8488927,0.90109444,0.40555736,0.8386141,0.9365019,0,0,0.10209863,0,0,0.14707932,0,0,0.0083440915,0,0,0.011003733
9,0.58481205,0.1816972,0.9932342,0.64066243,0.14464591,0.9765123,0.5333155,0.14387667,0.9834221,0.7172382,0.16558528,0.8206582,0.46248665,0.16451913,0.83740103,0.8317472,0.3683215,0.9897989,0.36040536,0.36299756,0.99423665,0.88375646,0.66138655,0.9272233,0.29851955,0.63920224,0.9661185,0.81515616,0.86141217,0.7974522,0.22696522,0.87511015,0.8719638,0.7348474,0.81888574,0.9044149,0.40517014,0.8081463,0.9309845,0,0,0.11695764,0,0,0.14855383,0,0,0.010186495,0,0,0.012180424
