frame,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,0.4851024,0.10070572,0.9871416,0.53061986,0.082163006,0.95059466,0.44545153,0.08016315,0.9656789,0.59064436,0.098037764,0.6947213,0.3742342,0.0916844,0.8014608,0.6933804,0.19844157,0.9937942,0.22448415,0.19905464,0.99589384,0.83614016,0.33268285,0.9801531,0.066040695,0.34468895,0.98835295,0.6620288,0.3504283,0.9737593,0.29578406,0.36105305,0.9837531,0.65686077,0.4447873,0.9974745,0.32183665,0.45324138,0.99795496,0.83923537,0.5587661,0.9945279,0.27522516,0.5894367,0.9958956,0.84177923,0.8184667,0.97427475,0.23861854,0.86455506,0.9786436
1,0.4868104,0.100822,0.9876693,0.5358033,0.08296984,0.95416963,0.44883347,0.0799519,0.9676586,0.60041857,0.10043521,0.7505734,0.38145867,0.091476284,0.8312674,0.69669944,0.19947453,0.9956518,0.22581553,0.19894066,0.996983,0.85109466,0.3259317,0.9831557,0.05226857,0.3361048,0.98990613,0.6632564,0.35436273,0.9744357,0.298219,0.3603792,0.9839498,0.6447464,0.4417558,0.9985753,0.31010824,0.4500993,0.99880826,0.85619724,0.5593635,0.99647176,0.27841184,0.5952671,0.99734503,0.8248941,0.81040597,0.9811577,0.21927148,0.8676114,0.98427296
2,0.48195896,0.09956806,0.986374,0.5277377,0.08083388,0.9507856,0.4432183,0.0789448,0.9614943,0.5906951,0.0951926,0.71296495,0.37606144,0.08928016,0.7769997,0.699347,0.19477418,0.9941111,0.22970043,0.19527619,0.99557793,0.84159017,0.33155987,0.9819048,0.0676128,0.34184396,0.98749614,0.6604014,0.3481107,0.97526735,0.28515017,0.3589636,0.9825951,0.6636676,0.44072765,0.9976549,0.32788014,0.44839764,0.9979856,0.8397439,0.56294155,0.99475753,0.27117637,0.5922453,0.9958236,0.8466853,0.8184186,0.97443783,0.23195656,0.8631913,0.9779896
3,0.48577765,0.10122609,0.98791635,0.5329254,0.08267782,0.95446515,0.44701567,0.08002951,0.9687381,0.59596086,0.099174045,0.74361455,0.3793747,0.09116346,0.8352907,0.69270056,0.1999051,0.99545336,0.2258675,0.19828056,0.99690825,0.8446135,0.32960668,0.9821646,0.048793748,0.33740374,0.98958826,0.66594803,0.35471436,0.97331876,0.29493722,0.36015895,0.98363173,0.641511,0.4434366,0.9983771,0.31083238,0.45117897,0.99865544,0.84619445,0.56221825,0.99599236,0.2832312,0.59509987,0.9969989,0.8167175,0.81832284,0.9786962,0.2242933,0.86932373,0.98230445
4,0.48320523,0.09768928,0.9868129,0.52916205,0.07934612,0.9527224,0.44467828,0.07749709,0.9631353,0.5919821,0.09619275,0.72072804,0.37761796,0.09024787,0.7843787,0.6989591,0.19690189,0.99413705,0.23212445,0.19751945,0.99568594,0.8410363,0.3304354,0.98146343,0.06579747,0.34035736,0.9874352,0.66131717,0.35101625,0.9746786,0.27881637,0.3589694,0.98242927,0.6640198,0.43823087,0.9975871,0.33083704,0.4459299,0.9979463,0.8353165,0.5639836,0.99459416,0.2737514,0.59274346,0.99571794,0.8466516,0.8196288,0.97362524,0.24115676,0.86272645,0.9774086
5,0.4820774,0.09891011,0.9870161,0.5278339,0.08000271,0.95094824,0.44156528,0.07871446,0.96532583,0.59132755,0.095474735,0.70279413,0.37244326,0.09066028,0.7977054,0.70011014,0.19695753,0.99368805,0.228639,0.19646344,0.9960122,0.83904463,0.3339086,0.9795943,0.06292317,0.34029666,0.9887298,0.66215545,0.35125846,0.9728267,0.2804266,0.36157376,0.98379713,0.66794163,0.44055957,0.9975516,0.3309845,0.44789976,0.9980742,0.8342283,0.5631783,0.9945815,0.266112,0.5918324,0.9960276,0.84608895,0.81671315,0.97425145,0.2296862,0.86038417,0.9790037
6,0.4874504,0.10095952,0.98769814,0.5350452,0.08276112,0.9552936,0.44931263,0.08005319,0.96740025,0.5987612,0.099656835,0.75304323,0.3834515,0.09142672,0.82782215,0.69622403,0.19898012,0.99550396,0.22991414,0.19860405,0.99675494,0.8456824,0.3254448,0.9827708,0.05118099,0.33481532,0.9890675,0.6659728,0.35498103,0.97397655,0.30177143,0.35831466,0.9830208,0.64967185,0.44257092,0.9983688,0.31918943,0.45127645,0.9986072,0.85387546,0.5595829,0.99584347,0.28619525,0.5957767,0.9967949,0.8199149,0.8120914,0.9775834,0.22158614,0.86792123,0.9809827
7,0.48491403,0.100603454,0.98760915,0.5325511,0.082076706,0.9551423,0.4461247,0.07965341,0.9668718,0.59742796,0.09892767,0.75515234,0.38059494,0.09168309,0.8243619,0.69665325,0.19942497,0.99556375,0.22762457,0.19884525,0.9967044,0.8468778,0.3278018,0.9830252,0.050611608,0.3359855,0.9888982,0.66164213,0.35580948,0.9743877,0.29503262,0.35821015,0.9828333,0.6401314,0.44365963,0.9983613,0.3077152,0.45153096,0.9985827,0.85033154,0.55936974,0.99588746,0.28335503,0.59197295,0.99679226,0.8196208,0.8154266,0.9779935,0.22379147,0.8656372,0.98124343
8,0.48540384,0.100714654,0.9875888,0.53277713,0.0823174,0.9561663,0.4468476,0.0801342,0.966233,0.59762985,0.099335566,0.7629334,0.38160047,0.092547014,0.81921744,0.6979805,0.19906002,0.9956899,0.23216644,0.1995659,0.9966683,0.8496965,0.3269066,0.9836377,0.052061345,0.33633137,0.9886524,0.6644398,0.35412392,0.9747995,0.29341134,0.35816392,0.9822955,0.64951974,0.43891856,0.9984357,0.31897825,0.4472718,0.9986199,0.8457941,0.56304896,0.9959705,0.27814204,0.5981627,0.9967758,0.81898606,0.81442666,0.9777361,0.21454026,0.86797076,0.98067576
9,0.48292363,0.096112736,0.98681563,0.5293396,0.07769384,0.95176464,0.44437978,0.07582284,0.9640466,0.5924791,0.09419018,0.7146882,0.37746158,0.08814702,0.7911294,0.7015981,0.19433548,0.9938689,0.22999236,0.19654134,0.9958786,0.84417665,0.32833558,0.9803771,0.06516346,0.3422027,0.98819286,0.66691035,0.34964266,0.9734446,0.28128657,0.35882255,0.98311836,0.6683457,0.4377428,0.99752635,0.33188784,0.44619185,0.9979888,0.8399778,0.560532,0.9943825,0.26892012,0.59062,0.99575055,0.8462977,0.81358254,0.97290796,0.23428011,0.8589559,0.9774376
