frame,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,0.43275088,0.11996663,0.9919537,0.48195678,0.096453734,0.9703883,0.37375745,0.099190906,0.97296786,0.5537705,0.10235087,0.7573775,0.2902861,0.11065814,0.7526574,0.73812354,0.22175713,0.9929711,0.15419517,0.23895788,0.9941552,0.90555674,0.36541083,0.97483873,0.056823395,0.4016216,0.97924083,0.68185836,0.3728414,0.96691805,0.23083274,0.40822017,0.97140616,0.65218294,0.5587822,0.9939746,0.2629629,0.5621245,0.9944617,0.6487836,0.80884045,0.95842004,0.18488218,0.81146973,0.96319324,0.5980959,1.0,0.4997835,0.18059036,1.0,0.5193299
1,0.41989058,0.117063776,0.99143547,0.47129807,0.09461187,0.9711611,0.3687722,0.09779574,0.9687091,0.5484057,0.10188878,0.80546427,0.30292395,0.11070137,0.73181194,0.7309862,0.22088665,0.9940356,0.16282672,0.24150158,0.9953833,0.8900202,0.35992923,0.9779037,0.051047653,0.39769635,0.9825867,0.6474108,0.37746924,0.9711794,0.21935007,0.40507752,0.9750617,0.6327754,0.5547353,0.99614054,0.25827777,0.5603521,0.9965491,0.61301696,0.8016886,0.97787523,0.19200705,0.8137983,0.9812775,0.57310075,1.0,0.68063074,0.21758792,1.0,0.704459
2,0.41784108,0.111595154,0.990957,0.46922696,0.08988003,0.9710933,0.36672467,0.09276365,0.96615213,0.5455005,0.098988876,0.81141883,0.29881313,0.10738022,0.7094213,0.72869444,0.21845903,0.9938134,0.1637773,0.23582366,0.99487066,0.8837045,0.36214828,0.9777811,0.06244105,0.3855171,0.98080486,0.6086529,0.38595426,0.97158754,0.22493427,0.39398608,0.9728784,0.629336,0.5461561,0.9962484,0.2541236,0.54976445,0.9965173,0.6047955,0.7956948,0.980948,0.18115783,0.80522186,0.98318845,0.56793463,1.0,0.7215722,0.2059328,1.0,0.7396813
3,0.41799197,0.11206795,0.9909218,0.4739411,0.09026505,0.9739415,0.364712,0.09171591,0.96311826,0.55524063,0.09729513,0.85850966,0.29309213,0.103196144,0.7027571,0.7514471,0.21959804,0.9957651,0.15180184,0.23238786,0.9956458,0.9081305,0.37229684,0.9826382,0.063955694,0.38541195,0.98049533,0.5922497,0.39435348,0.9762246,0.21088085,0.39264154,0.971839,0.6311121,0.55745584,0.9978725,0.23710895,0.55676115,0.9978199,0.6016895,0.80276644,0.98635155,0.1594059,0.80357957,0.986917,0.529759,1.0,0.7866989,0.18633628,1.0,0.79373455
4,0.4266905,0.11410399,0.9908695,0.48440275,0.09215447,0.97550404,0.37367156,0.09391454,0.9594678,0.57314914,0.09943752,0.8743687,0.30752966,0.10619656,0.67063814,0.7643691,0.22161525,0.99615866,0.16785416,0.2343023,0.9955979,0.90697837,0.36986494,0.9851585,0.064700276,0.3814874,0.9804175,0.6011523,0.3937024,0.9794572,0.20753615,0.3897962,0.9723168,0.6309529,0.55756897,0.99819535,0.23840405,0.55698556,0.9980331,0.60802275,0.8007193,0.9883646,0.16366872,0.80331343,0.9882414,0.5280503,0.9966074,0.8100223,0.17467609,1.0,0.81108254
5,0.43930137,0.11274735,0.990746,0.49899092,0.09203828,0.974434,0.3866073,0.09233354,0.9625616,0.5850045,0.10235316,0.8608033,0.31548905,0.10533918,0.69835687,0.7665805,0.22568588,0.99529135,0.16671267,0.23340158,0.9952754,0.9104128,0.37618124,0.9810976,0.06920222,0.38162395,0.97870904,0.6151141,0.39697894,0.9747082,0.22277814,0.3907081,0.969712,0.6256112,0.5587412,0.99738806,0.2307991,0.55637574,0.9973009,0.60284525,0.8036306,0.9826634,0.16252834,0.8035098,0.9833592,0.51433897,0.99831736,0.74275416,0.17882155,1.0,0.750129
6,0.4492436,0.11347698,0.9912486,0.5069298,0.09215934,0.9743274,0.3941703,0.09348993,0.9651176,0.59242994,0.101651065,0.85486645,0.3225267,0.10739927,0.71984994,0.7737362,0.22543733,0.99577713,0.17644714,0.23578352,0.9961582,0.9114862,0.37571377,0.98249984,0.06746588,0.3867398,0.9826896,0.6240573,0.39933828,0.97644776,0.22153078,0.39853376,0.9746901,0.62650967,0.5573189,0.9981723,0.23333699,0.55608493,0.99819356,0.609111,0.79450077,0.98949486,0.16837396,0.7968331,0.9904454,0.508285,0.9907166,0.83938307,0.16251315,0.9988121,0.848775
7,0.45177257,0.10974162,0.9915884,0.50827044,0.08979473,0.9739948,0.40059903,0.08976183,0.96660966,0.58742994,0.101894885,0.8465967,0.32979953,0.10408411,0.7298391,0.7615603,0.22678894,0.9957014,0.18481468,0.23299173,0.9963012,0.91104686,0.38001284,0.9826298,0.08452485,0.38429007,0.9840657,0.6321255,0.39923108,0.97700626,0.23710921,0.39644235,0.976523,0.6244927,0.5561891,0.99802667,0.24308628,0.55368733,0.99809974,0.60173047,0.7964064,0.9875938,0.16958354,0.80077827,0.9890169,0.49593523,0.9895524,0.8042306,0.14978339,1.0,0.81719834
8,0.45274997,0.11158664,0.9912718,0.5103029,0.09088306,0.97347575,0.39711154,0.091090135,0.9666804,0.5895443,0.102710694,0.83654267,0.3175985,0.10574223,0.72946954,0.76580054,0.22786649,0.9950519,0.17405115,0.23592009,0.9956339,0.9161569,0.3821741,0.9796769,0.082388155,0.38957578,0.9806851,0.63881886,0.4021681,0.9736876,0.23466712,0.39643034,0.9726122,0.6328865,0.5563029,0.9974033,0.24243872,0.5544054,0.99745995,0.6063278,0.7959182,0.9845902,0.17183875,0.79859483,0.9860496,0.49784696,0.99103546,0.77620715,0.16261178,1.0,0.78847647
9,0.4506847,0.109921396,0.99119276,0.507638,0.08969753,0.9726715,0.39425698,0.08978455,0.96800035,0.58554834,0.103418306,0.82930094,0.31358746,0.10642975,0.7408531,0.76180875,0.2287939,0.99450856,0.17399065,0.23679657,0.9956468,0.9118195,0.3795332,0.97678113,0.089429684,0.38890213,0.98102665,0.6348682,0.39954898,0.9705749,0.24434315,0.39998236,0.9726015,0.63124347,0.55647135,0.9972608,0.24156499,0.5539967,0.9974679,0.6058468,0.79577917,0.98434305,0.16626754,0.79667896,0.98660976,0.48945448,0.9943951,0.78031206,0.1449472,1.0,0.7987125
