frame,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,0.44408482,0.114860244,0.9874851,0.49332082,0.09485199,0.9635877,0.3885651,0.09699835,0.9545654,0.57640946,0.0956615,0.8080083,0.31423905,0.100441724,0.73676723,0.72376585,0.1942496,0.9961928,0.18815131,0.20641975,0.99441636,0.8442179,0.34161648,0.9858468,0.0771329,0.33879533,0.97759277,0.9073091,0.47747067,0.9721743,0.27535442,0.3390871,0.9633072,0.68156886,0.48614168,0.99771345,0.32176998,0.49264386,0.99722075,0.700483,0.72595465,0.98494786,0.21558867,0.72170365,0.98234475,0.70698315,0.95383507,0.84242433,0.2009695,0.9225794,0.8310913
1,0.48622835,0.09364985,0.9878369,0.5346764,0.07510218,0.965089,0.4371763,0.07571286,0.95327604,0.60699016,0.08258791,0.7986883,0.36859277,0.08551221,0.7015959,0.74655914,0.18889736,0.99393916,0.24495338,0.20002323,0.99436367,0.8710506,0.34656906,0.98161626,0.14177886,0.33466372,0.98037225,0.91175544,0.4816956,0.9720353,0.32147333,0.33652052,0.9684303,0.68896633,0.47395864,0.99624026,0.34155345,0.47894672,0.99604684,0.6866511,0.7222407,0.98567164,0.21150477,0.72390103,0.9855151,0.6620387,0.94630474,0.8653268,0.13723944,0.9301958,0.8685848
2,0.48909116,0.09497011,0.9889342,0.5436527,0.077547655,0.96598035,0.43933934,0.076456934,0.95639145,0.62600714,0.09103441,0.81227493,0.36475128,0.08745035,0.7284803,0.75124115,0.19998366,0.9968264,0.24324575,0.20320953,0.9948997,0.86023116,0.3499642,0.9882874,0.12113918,0.33199784,0.98031634,0.9112372,0.49812758,0.97607654,0.28433752,0.34705284,0.96721673,0.69782794,0.48148024,0.99836,0.34944227,0.4832886,0.9979907,0.6925845,0.7194246,0.99205035,0.20054518,0.7123695,0.9905314,0.64528215,0.9461664,0.91154146,0.13989885,0.91659904,0.904355
3,0.4930654,0.093145706,0.98884237,0.5462837,0.07610762,0.9652715,0.44607073,0.07488946,0.95699984,0.623976,0.090257056,0.81182986,0.37491703,0.08624164,0.7380773,0.74079764,0.20011966,0.9967439,0.25088477,0.20245908,0.9951552,0.84424096,0.3491751,0.98773104,0.12343374,0.32798982,0.98098445,0.8991263,0.49763122,0.9752088,0.2773027,0.3426538,0.9677132,0.6773208,0.48412505,0.9983277,0.34421986,0.48572594,0.9980129,0.6617671,0.7234664,0.9918058,0.20301422,0.7175048,0.9905172,0.6131049,0.9448913,0.9094102,0.14971414,0.91777885,0.9035323
4,0.5023732,0.089287184,0.9888842,0.55452675,0.07190588,0.965004,0.4541897,0.07125659,0.95865214,0.63272065,0.08720839,0.80980533,0.38497204,0.08453848,0.74964625,0.75539434,0.20056902,0.99661416,0.2590831,0.20191449,0.9953786,0.85783917,0.35314053,0.98681855,0.12905371,0.32830077,0.9818907,0.9053537,0.4978568,0.9733391,0.2982206,0.34178284,0.96818787,0.6843347,0.48595944,0.99832433,0.34585634,0.48698705,0.99809355,0.677022,0.72668093,0.99158454,0.20358181,0.71973073,0.9907227,0.6276191,0.9460671,0.90765977,0.13729094,0.91740435,0.9044422
5,0.4812168,0.09030324,0.98925847,0.53665507,0.07261796,0.96551216,0.42891726,0.07293004,0.96060586,0.6226828,0.08763956,0.81707793,0.35795912,0.0870657,0.7660702,0.75775945,0.20044385,0.9967422,0.22343124,0.20313042,0.99573356,0.8602404,0.35192546,0.98648375,0.08108406,0.32911804,0.98269373,0.90911484,0.5070045,0.971536,0.24598779,0.34470645,0.96860385,0.67487454,0.491327,0.99821496,0.31200245,0.49250162,0.9980323,0.6617111,0.73302686,0.9875246,0.16066948,0.72567886,0.98662984,0.62081176,0.95533323,0.85921896,0.104073,0.92553484,0.8559573
6,0.49667838,0.08837638,0.9888181,0.5537491,0.072008245,0.9663921,0.4471372,0.0708729,0.954773,0.6359033,0.090634756,0.82298064,0.3721595,0.086564034,0.72652674,0.75796705,0.20368548,0.9971123,0.23780642,0.2055569,0.9948592,0.8669921,0.35151666,0.9894112,0.10712847,0.32960102,0.9793427,0.9072142,0.49719536,0.97787935,0.28557786,0.34492257,0.96605074,0.68708694,0.48550963,0.9985239,0.33044368,0.4874387,0.9980884,0.6839007,0.7270509,0.99265116,0.18744425,0.7231762,0.99077344,0.6473859,0.9465717,0.91497713,0.13882178,0.92244565,0.9047689
7,0.48160812,0.089036204,0.98901945,0.5378866,0.07106014,0.96418256,0.42602164,0.07247455,0.9603151,0.62629783,0.08769528,0.80683136,0.35155395,0.089201026,0.76679814,0.76925045,0.20104273,0.9965294,0.21834469,0.20571767,0.99521834,0.8835798,0.3511098,0.9855651,0.08104391,0.3310187,0.9808982,0.91608995,0.4968313,0.97052675,0.27515906,0.3414099,0.9673103,0.6988683,0.48903355,0.9978847,0.3221461,0.4923957,0.99765116,0.6949832,0.7305921,0.9855078,0.1873999,0.72914433,0.9844172,0.6733857,0.95178634,0.8392615,0.14924368,0.92930573,0.8351854
8,0.47714165,0.09132772,0.98775196,0.5380031,0.073651426,0.96519977,0.4249925,0.07380762,0.94891125,0.6306366,0.090623096,0.83275247,0.35482305,0.089154,0.7129029,0.7741453,0.20255616,0.99712735,0.20833687,0.20754948,0.99350387,0.8828697,0.35024202,0.98881567,0.0756547,0.33825237,0.9717533,0.90884876,0.49214473,0.97555655,0.29306024,0.34344766,0.9569489,0.6998503,0.4936514,0.9978415,0.31352913,0.4971138,0.9969381,0.71301454,0.72960263,0.9861988,0.21141349,0.72360384,0.98118114,0.7070246,0.95480984,0.8480623,0.22002073,0.9238913,0.82344055
9,0.47504786,0.08811554,0.98716855,0.5349261,0.07060948,0.9675628,0.4226039,0.07111592,0.9470504,0.62995046,0.08512427,0.84816104,0.35549587,0.08598959,0.6871936,0.7675754,0.19621801,0.99655664,0.21837264,0.2048892,0.99379057,0.8865614,0.348645,0.98847187,0.088718414,0.33318502,0.9749381,0.91249907,0.4881516,0.97787845,0.30238616,0.3318807,0.9612628,0.6959034,0.47704807,0.99776495,0.3222343,0.4830307,0.99694073,0.7404466,0.71875155,0.9885492,0.235692,0.7196363,0.98501843,0.73527396,0.9460157,0.87168485,0.21533072,0.92515975,0.85430664
