frame,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,0,0,1.7012675e-05,0,0,1.5677931e-06,0,0,3.5815817e-06,0,0,0.034584753,0,0,0.09087213,0.1740102,0.035770033,0.75823045,0.74900603,0.058464102,0.77588886,0.062809415,0.36695683,0.883994,0.88207453,0.38521323,0.86499625,0.09308499,0.54977345,0.6438557,0.7375686,0.4455918,0.6039075,0.18311551,0.6064972,0.98357934,0.562157,0.6165369,0.9823429,0.18714298,0.98597306,0.329454,0.5842135,1.0007987,0.30753487,0,0,0.005418112,0,0,0.004282446
1,0,0,6.4343108e-06,0,0,9.351206e-07,0,0,8.221696e-07,0,0,0.04793057,0,0,0.03382583,0.16467176,0.03847308,0.6717976,0.75672764,0.050893303,0.6805467,0.057463914,0.38396087,0.8534105,0.89917105,0.37662387,0.8280841,0.07809284,0.6071305,0.54421824,0.7646516,0.42709315,0.52338463,0.21319327,0.6206244,0.9743552,0.60209227,0.6241669,0.9736051,0,0,0.19918695,0,0,0.19766223,0,0,0.002692408,0,0,0.0024105338
2,0,0,3.981278e-05,0,0,3.6802205e-06,0,0,7.6245246e-06,0,0,0.032578614,0,0,0.10892561,0.23211423,0.053891,0.8071239,0.7403979,0.0862259,0.71300954,0.11608089,0.37119138,0.91693777,0.90169924,0.40014994,0.80311596,0.097405374,0.5866624,0.71178275,0.7426587,0.45054466,0.5608352,0.27618876,0.6104889,0.97991097,0.60904425,0.6193162,0.9720114,0.23183678,0.9922292,0.3659465,0.5281085,0.99933803,0.27877972,0,0,0.0063578864,0,0,0.004273513
3,0,0,1.748766e-05,0,0,2.5121283e-06,0,0,2.2320805e-06,0,0,0.044891614,0,0,0.04693344,0.22342367,0.040760096,0.727841,0.7528867,0.06523625,0.6762841,0.10783622,0.3557577,0.9047713,0.910676,0.38956457,0.83106077,0.07732449,0.5775604,0.69454277,0.6928206,0.4603195,0.6311916,0.28374666,0.61649257,0.9852009,0.61825407,0.62038076,0.9835861,0.25875962,1.0,0.37824002,0.49309722,1.0,0.3582529,0,0,0.0072838417,0,0,0.0062928894
4,0,0,2.7360811e-05,0,0,5.05678e-06,0,0,3.525759e-06,0,0,0.09598821,0,0,0.04831037,0.22681452,0.053074904,0.72546387,0.77392286,0.072176225,0.7723544,0.072224945,0.3601229,0.8719259,0.8841449,0.38806266,0.87265927,0.046371266,0.5953312,0.64395684,0.77233905,0.5251365,0.6589557,0.25763008,0.6135053,0.9827004,0.6034345,0.61875725,0.9842748,0.26350066,0.9765791,0.3592328,0.5340095,0.99218357,0.38718128,0,0,0.008319161,0,0,0.008214269
5,0,0,0.00026461904,0,0,2.2153496e-05,0,0,7.7916346e-05,0,0,0.046615496,0.7369684,-0.00035422939,0.2627594,0.270623,0.07290053,0.7827252,0.76833045,0.084489085,0.84388894,0.14306454,0.3793536,0.87530965,0.886087,0.38293344,0.9026568,0.08016886,0.5877335,0.7070297,0.8285003,0.56978375,0.76341295,0.31651035,0.60682845,0.9753856,0.61949164,0.6132185,0.9792132,0.34533116,0.9492289,0.37071368,0.535812,0.973562,0.40428647,0,0,0.010748586,0,0,0.010179762
6,0,0,8.7761546e-05,0,0,1.367812e-05,0,0,1.6068429e-05,0,0,0.13976222,0,0,0.121845186,0.2248636,0.078157954,0.8449648,0.78259087,0.095001064,0.84068924,0.0775491,0.3683593,0.9059294,0.9083642,0.38685706,0.88305247,0.048105005,0.59656,0.73025787,0.9113913,0.5776708,0.6886231,0.27461103,0.61076117,0.9884017,0.62389416,0.6200913,0.98778105,0.320548,0.9645334,0.5083343,0.59536695,0.99464566,0.4959309,0,0,0.016604673,0,0,0.014257627
7,0,0,0.00026876814,0,0,3.6109894e-05,0,0,6.0121107e-05,0,0,0.1328494,0,0,0.19982272,0.18963529,0.09537093,0.8774122,0.71344143,0.097406894,0.8831877,0.07307279,0.3863212,0.8993687,0.87431645,0.373374,0.9009197,0.043655742,0.59787613,0.7282483,0.9679106,0.5830288,0.7334415,0.27810025,0.6068903,0.9881924,0.60893244,0.61237234,0.98845184,0.32593536,0.95663923,0.5430864,0.6280611,0.9767716,0.553645,0,0,0.021837855,0,0,0.020313147
8,0,0,0.00095954846,0,0,0.00010467286,0,0,0.00033049504,0.27812216,-0.0022678338,0.21047032,0.60223794,-0.0022678338,0.45901138,0.18750055,0.1171331,0.9077954,0.67045337,0.11555528,0.961141,0.07013531,0.40552855,0.8369806,0.8331453,0.37981611,0.9522051,0.09530462,0.59089535,0.63507056,0.96160895,0.58575314,0.8197278,0.28739408,0.5932414,0.9846572,0.6093959,0.5973222,0.9906158,0.3186733,0.91151613,0.6649772,0.6735568,0.9246561,0.776403,0,0,0.045311145,0,0,0.059833154
9,0,0,0.0057447236,0,0,0.0008559871,0,0,0.0015126315,0.30275273,-0.001435186,0.4385712,0.56875306,-0.001435186,0.49409893,0.21298844,0.12549648,0.94962454,0.67321867,0.12178981,0.97076494,0.08347113,0.3828768,0.8881574,0.8430252,0.35838917,0.9514712,0.14105481,0.54886603,0.7575272,0.94999516,0.56736916,0.85464525,0.327262,0.57752573,0.9860573,0.6265371,0.57975775,0.9904293,0.3750158,0.88784474,0.73673683,0.6889892,0.892626,0.8153823,0,0,0.05755049,0,0,0.0740931
10,0,0,0.007665472,0,0,0.0010870063,0,0,0.0021752208,0.32272688,-0.00021146938,0.48240477,0.60760397,-0.00021146938,0.57710755,0.2178204,0.13249889,0.9625041,0.6954129,0.12708485,0.97642845,0.08912996,0.38561046,0.90575594,0.84845376,0.35403222,0.9539325,0.14904957,0.5414043,0.7837124,0.9476781,0.5497083,0.8587548,0.3213788,0.5696829,0.9895682,0.63258064,0.5718144,0.992419,0.39042845,0.8707633,0.8224866,0.6946251,0.8774463,0.8730285,0,0,0.10022011,0,0,0.12245484
