frame,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,0.4474805,-0.0013273088,0.806004,0.5010166,-0.0013273088,0.6210369,0.38878945,-0.0013273088,0.34327573,0.62169504,-0.0013273088,0.51719606,0,0,0.13170041,0.80487925,0.15197878,0.98228836,0.21158741,0.16856341,0.9686924,0.88776296,0.3521693,0.9841651,0.05912512,0.3457001,0.9585288,0.93626744,0.51475817,0.98193914,0.20456676,0.39534396,0.9662746,0.77637553,0.5404005,0.9973827,0.39325222,0.5542922,0.9964504,0.8315685,0.8205702,0.960002,0.46053872,0.8346162,0.9512552,0.8201337,1.0001484,0.40360045,0.54234844,1.0001484,0.3809133
1,0.455171,-0.0010974231,0.8110655,0.5041852,-0.0027795855,0.587238,0.3997339,-0.0027795855,0.40286928,0.60242724,-0.0014032592,0.45486107,0,0,0.18214083,0.792619,0.14557692,0.98096645,0.20306036,0.16760689,0.9694586,0.88704234,0.3394859,0.98143584,0.060209934,0.3471621,0.96170306,0.94946086,0.5182002,0.9775749,0.20506527,0.39960977,0.96579146,0.7569671,0.53572565,0.9961449,0.37978753,0.5508219,0.9951593,0.8035295,0.8180182,0.95048714,0.43364778,0.82684934,0.94231236,0.7698023,1.0010573,0.34233376,0.5062127,1.0010573,0.32620814
2,0.46760085,0.004546565,0.487206,0,0,0.15192258,0,0,0.16363715,0,0,0.12159629,0,0,0.14312749,0.7271509,0.13589258,0.9509595,0.19598706,0.15623887,0.9527956,0.87815887,0.33315644,0.97152317,0.06982584,0.34797597,0.9700019,0.9449863,0.51588625,0.9697983,0.19433603,0.41698444,0.97315276,0.72440946,0.5260811,0.9957711,0.3858103,0.5409747,0.9958156,0.77110326,0.8095048,0.95153266,0.42921382,0.8210795,0.9542869,0.7510307,1.0010448,0.3587687,0.47735593,1.0010448,0.36961785
3,0.42182428,-0.002741804,0.6219822,0.4609931,-0.002741804,0.29142347,0.3782443,-0.002741804,0.22048765,0.5394489,-0.002741804,0.23730859,0,0,0.13842475,0.7335007,0.13841766,0.96752936,0.17955783,0.15866475,0.9605538,0.8614796,0.33241177,0.976785,0.05545192,0.35387853,0.9679134,0.9469642,0.5103769,0.9746663,0.22336645,0.42869222,0.9723494,0.73262656,0.5268061,0.99646616,0.37781963,0.5416942,0.99617296,0.7812495,0.8065183,0.96000046,0.42317545,0.81498057,0.9598644,0.7564665,1.0007452,0.40731207,0.49139214,1.0005087,0.41367313
4,0.4225064,-0.0014652957,0.635723,0.4752632,-0.0014652957,0.34047595,0,0,0.19632468,0.5877515,-0.0014652957,0.29965046,0,0,0.094289295,0.7636851,0.15110946,0.9641796,0.1981086,0.16337751,0.9637344,0.8717375,0.3458568,0.97761565,0.07182069,0.34254652,0.97200024,0.9407608,0.50735635,0.97857386,0.13159122,0.4255659,0.9768687,0.7621138,0.52648926,0.9973009,0.39248812,0.5383735,0.9972881,0.83838874,0.7913145,0.9668105,0.43328348,0.80403304,0.9697712,0.86081535,0.9778877,0.48562846,0.51632476,0.9878526,0.5127146
5,0.44329974,-0.00028154656,0.8754305,0.4935184,-0.00028154656,0.64761436,0.38561928,-0.00028154656,0.5638543,0.59814894,0.004746234,0.44347692,0.3294724,0.017994493,0.27128044,0.7683288,0.16197798,0.9792771,0.22278446,0.17415807,0.9862366,0.87548524,0.3469417,0.9757592,0.081247844,0.34540528,0.9833945,0.93252724,0.50650024,0.97649336,0.1211845,0.46534836,0.9839183,0.77650434,0.5218317,0.9979571,0.41888347,0.53383243,0.998381,0.8562971,0.78308964,0.9788809,0.4614003,0.8019204,0.98473537,0.8722941,0.97014916,0.6357303,0.49660584,0.9924943,0.69230676
6,0.44481573,0.019637428,0.9775168,0.5131318,-0.0016684775,0.9299982,0.38629773,0.00058564235,0.8950078,0.6334933,0.027369158,0.73456216,0.32352564,0.031964507,0.5103856,0.7768815,0.17525046,0.9913522,0.23616128,0.18466654,0.9937022,0.9023079,0.34734195,0.9791724,0.09817719,0.347381,0.9841262,0.9339417,0.5107232,0.97794765,0.10106137,0.4800549,0.9831276,0.7641151,0.513707,0.9975714,0.41483557,0.52307093,0.99798065,0.8078407,0.7639784,0.98367095,0.4527288,0.7884292,0.9877643,0.7831196,0.9326812,0.7323504,0.48537228,0.9731686,0.7739278
7,0.47379974,0.038567528,0.993415,0.5429325,0.017407233,0.9784944,0.4105135,0.018085886,0.972568,0.6478156,0.04208392,0.85484415,0.33414295,0.04448472,0.7631028,0.7772051,0.18956284,0.99620736,0.25028905,0.20093012,0.9975521,0.9001758,0.36246434,0.981834,0.11430899,0.37048155,0.98815596,0.93194354,0.52454364,0.97507226,0.062104553,0.49486992,0.98295224,0.74003565,0.5265446,0.9981706,0.40513045,0.5335867,0.998546,0.7520257,0.764874,0.9886712,0.42376533,0.7810408,0.9918345,0.68339556,0.9009757,0.8391916,0.42922702,0.9292056,0.8697619
8,0.5086331,0.07023088,0.9935256,0.5725366,0.05206102,0.97744685,0.44823226,0.048867732,0.97409236,0.6596437,0.07739781,0.8557869,0.36556807,0.0720764,0.8107383,0.7774313,0.22012252,0.9971814,0.2781056,0.22086617,0.99819654,0.8902825,0.383871,0.9837106,0.15588103,0.3865256,0.9893519,0.93954694,0.5326601,0.97416943,0.063380755,0.5203305,0.98192364,0.73792315,0.54025316,0.99875855,0.4251016,0.5386844,0.9989998,0.72145087,0.7634157,0.99271625,0.42297456,0.75233,0.99458236,0.6294856,0.91268945,0.9106669,0.4286975,0.9030186,0.92902243
9,0.5478646,0.08867243,0.992735,0.6080837,0.0734251,0.97480744,0.4931456,0.06930681,0.9719763,0.6836543,0.100837566,0.8461548,0.41027552,0.09298313,0.81671476,0.7874975,0.23737179,0.99707127,0.3040227,0.23479524,0.99806494,0.8900059,0.391577,0.9833461,0.17314164,0.39361036,0.98760986,0.93679255,0.531094,0.9725185,0.076253176,0.52681243,0.978457,0.7314978,0.5351858,0.99858814,0.43114546,0.5316089,0.9987973,0.6988401,0.74736327,0.9930663,0.41875803,0.73078924,0.99441755,0.63130546,0.9032234,0.92275935,0.45634487,0.8858556,0.9357583
